#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
771,770,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,زيادة ضغط الهواء بالاطارات عن الحد خطر على سلامة السيارة وقد يسبب انفجار الاطارات.,دخل علي المرآب. يحتوي دليل السيارة على الجملة التالية:"زيادة ضغط الهواء بالإطارات عن الحد خطر على سلامة السيارة وقد يسبب انفجار الإطارات."قرأ علي الدليل. خرج علي من المرآب.دخل عمر المرآب. لم يقرأ عمر الدليل.يعتقد عمر أن زيادة ضغط الإطارات تحسن أداء السيارة وهي آمنة.,,A,العبارة صحيحة,العبارة خاطئة,,,,
772,771,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,اهتزاز (غربلة) مقود السيارة (الدركسيون) أثناء سير السيارة بسرعة يعني:,دخل سامي الورشة. قرأ الفني دليل صيانة السيارات، والذي ينص على:"اهتزاز (غربلة) مقود السيارة أثناء سير السيارة بسرعة يعني حاجة العجلات إلى الترصيص."أخبر الفني سامي أن هناك سببًا للاهتزاز لكنه لم يحدد السبب.خرج سامي من الورشة. دخل أحمد الورشة. لم يقرأ أحمد الدليل ولم يسمع كلام الفني.يعتقد أحمد أن الاهتزاز سببه ضعف المساعدين في السيارة.,,C,ضرورة ضبط مستويات ضغط الهواء بالاطارات,ضعف المساعدين بالسيارة,حاجة العجلات الى الترصيص,,,0
773,772,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع,دخل خالد ورشة السيارات. قرأ دليل الصيانة، والذي ينص على:"عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع."خرج خالد من الورشة. دخل ماجد الورشة. لم يقرأ ماجد الدليل.يعتقد ماجد أن رفع السيارة بالكوريك لا يتطلب وضع حجر خلف العجلة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
775,774,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين,دخل سامر قاعة اختبار القيادة. قرأ المدرب دليل المرور، والذي ينص على:"لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين."خرج سامر من القاعة. دخل آدم القاعة. لم يقرأ آدم الدليل ولم يحضر شرح المدرب.يعتقد آدم أن التخطي في هذه الأماكن مسموح إذا كان الطريق فارغًا.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
776,775,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,المخدرات وحدها تزيد زمن رد الفعل لدى قائد السيارة,دخل يوسف قاعة التوعية المرورية. قرأ المحاضر دليل القيادة الآمنة، والذي ينص على:"المخدرات ليست وحدها التي تزيد زمن رد الفعل لدى قائد السيارة، بل هناك عوامل أخرى مثل التعب والإرهاق والكحول والتشتت."خرج يوسف من القاعة. دخل أمجد القاعة. لم يقرأ أمجد الدليل ولم يحضر المحاضرة.يعتقد أمجد أن المخدرات هي العامل الوحيد الذي يزيد زمن رد الفعل.,,B,العبارة صحيحة,العبارة خاطئة,,,,0
777,776,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,مبين علامة الزيت في الطبلوه يدل على؟,دخل حسام إلى مركز صيانة السيارات. قرأ الفني دليل السيارات، والذي ينص على:"مبين علامة الزيت في الطبلوه يدل على ضغط الزيت في المحرك."خرج حسام من المركز. دخل عمر المركز. لم يقرأ عمر الدليل ولم يسمع شرح الفني.يعتقد عمر أن علامة الزيت في الطبلوه تدل على منسوب الزيت في المحرك.,,A,ضغط الزيت في المحرك,حالة الزيت في المحرك,منسوب الزيت في المحرك,,,0
778,777,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,الاولوية لتنفيذ الاشارة اليدوية لرجل المرور.,دخل سعيد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:"الأولوية لتنفيذ الإشارة اليدوية لرجل المرور على أي إشارات أخرى."خرج سعيد من القاعة. دخل فواز القاعة. لم يقرأ فواز الدليل ولم يحضر الشرح.يعتقد فواز أن إشارات المرور الضوئية لها الأولوية على إشارات رجل المرور.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
779,778,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة,دخل أحمد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:"تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة."خرج أحمد من القاعة. دخل سامي القاعة. لم يقرأ سامي الدليل ولم يحضر الشرح.يعتقد سامي أن السرعة على الطرق الصحراوية للسيارات الملاكي تختلف عن ذلك.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
780,779,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,اذا اراد قائد المركبة ان يقوم بالتوقف فعليه تهدئة سرعة المركبة تدريجيًّا,دخل خالد قاعة تعليم القيادة. قرأ المدرب دليل القيادة، والذي ينص على:"إذا أراد قائد المركبة أن يقوم بالتوقف، فعليه تهدئة سرعة المركبة تدريجيًّا."خرج خالد من القاعة. دخل مازن القاعة. لم يقرأ مازن الدليل ولم يحضر الشرح.يعتقد مازن أن التوقف المفاجئ هو الطريقة الصحيحة لإيقاف المركبة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
781,780,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,في حالة القيادة في الشبورة المائية يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تكون شبورة مائية داخل السيارة,دخل عمر قاعة تعليم قواعد المرور. قرأ المدرب دليل القيادة، والذي ينص على:"في حالة القيادة في الشبورة المائية، يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تتكون شبورة مائية داخلها."خرج عمر من القاعة. دخل سامح القاعة. لم يقرأ سامح الدليل ولم يحضر الشرح.يعتقد سامح أن إغلاق النوافذ تمامًا هو الحل الأفضل لمنع تكوّن الشبورة داخل السيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
