#,ID,Source,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
771,770,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,زيادة ضغط الهواء بالاطارات عن الحد خطر على سلامة السيارة وقد يسبب انفجار الاطارات.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
772,771,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,اهتزاز (غربلة) مقود السيارة (الدركسيون) أثناء سير السيارة بسرعة يعني:,,C,ضرورة ضبط مستويات ضغط الهواء بالاطارات,ضعف المساعدين بالسيارة,حاجة العجلات الى الترصيص,,,0
773,772,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع,,A,العبارة صحيحة,العبارة خاطئة,,,,0
774,773,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,عند استخدام الفرامل يجب النظر في مرآة السيارة.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
775,774,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين,,A,العبارة صحيحة,العبارة خاطئة,,,,0
776,775,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,المخدرات وحدها تزيد زمن رد الفعل لدى قائد السيارة,,B,العبارة صحيحة,العبارة خاطئة,,,,0
777,776,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,مبين علامة الزيت في الطبلوه يدل على؟,,A,ضغط الزيت في المحرك,حالة الزيت في المحرك,منسوب الزيت في المحرك,,,0
778,777,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,الاولوية لتنفيذ الاشارة اليدوية لرجل المرور.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
779,778,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة,,A,العبارة صحيحة,العبارة خاطئة,,,,0
780,779,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,اذا اراد قائد المركبة ان يقوم بالتوقف فعليه تهدئة سرعة المركبة تدريجيًّا,,A,العبارة صحيحة,العبارة خاطئة,,,,0
781,780,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,في حالة القيادة في الشبورة المائية يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تكون شبورة مائية داخل السيارة,,A,العبارة صحيحة,العبارة خاطئة,,,,0
782,781,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,انت تقود سيارتك بسرعة فوجئت بعدم وجود فرامل، فماذا تفعل؟,,C,اشد فرامل اليد بسرعة,ادخل في المناطق الزراعية والخالية,استخدم الغيار العكسي,,,0
783,782,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,ضعف عزم المتور اثناء القيادة يكون احد اسبابه نسيان فرامل اليد اثناء المشي بالسيارة,,A,العبارة صحيحة,العبارة خاطئة,,,,0
784,783,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,لا يجوز الاتجاه عكس اتجاه حركة المرور.,,A,العبارة صحيحة,العبارة خاطئة,,,,0
785,784,https://www.arabquest.net/wp_quiz/egypt-general-test-1/,Egypt,Other,Driving Test,,يجوز عند الضرورة جلوس الطفل دون سن السابعة في المقاعد الأمامية,,B,العبارة صحيحة,العبارة خاطئة,,,,0
