input,golds,options,preds,probs,subject
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل سامي الورشة. قرأ الفني دليل صيانة السيارات، والذي ينص على:""اهتزاز (غربلة) مقود السيارة أثناء سير السيارة بسرعة يعني حاجة العجلات إلى الترصيص.""أخبر الفني سامي أن هناك سببًا للاهتزاز لكنه لم يحدد السبب.خرج سامي من الورشة. دخل أحمد الورشة. لم يقرأ أحمد الدليل ولم يسمع كلام الفني.يعتقد أحمد أن الاهتزاز سببه ضعف المساعدين في السيارة.

Question: اهتزاز (غربلة) مقود السيارة (الدركسيون) أثناء سير السيارة بسرعة يعني:
أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات
ب- ضعف المساعدين بالسيارة
ج- حاجة العجلات الى الترصيص
Correct option number is:",2,"['أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات', 'ب- ضعف المساعدين بالسيارة', 'ج- حاجة العجلات الى الترصيص']",ج,[5.8949576e-05 4.9284008e-01 5.0710100e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل خالد ورشة السيارات. قرأ دليل الصيانة، والذي ينص على:""عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع.""خرج خالد من الورشة. دخل ماجد الورشة. لم يقرأ ماجد الدليل.يعتقد ماجد أن رفع السيارة بالكوريك لا يتطلب وضع حجر خلف العجلة.

Question: عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.8561594e-04 9.9971431e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل سامر قاعة اختبار القيادة. قرأ المدرب دليل المرور، والذي ينص على:""لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين.""خرج سامر من القاعة. دخل آدم القاعة. لم يقرأ آدم الدليل ولم يحضر شرح المدرب.يعتقد آدم أن التخطي في هذه الأماكن مسموح إذا كان الطريق فارغًا.

Question: لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.4510128e-04 9.9975485e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل يوسف قاعة التوعية المرورية. قرأ المحاضر دليل القيادة الآمنة، والذي ينص على:""المخدرات ليست وحدها التي تزيد زمن رد الفعل لدى قائد السيارة، بل هناك عوامل أخرى مثل التعب والإرهاق والكحول والتشتت.""خرج يوسف من القاعة. دخل أمجد القاعة. لم يقرأ أمجد الدليل ولم يحضر المحاضرة.يعتقد أمجد أن المخدرات هي العامل الوحيد الذي يزيد زمن رد الفعل.

Question: المخدرات وحدها تزيد زمن رد الفعل لدى قائد السيارة
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.3885851e-04 9.9976116e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل حسام إلى مركز صيانة السيارات. قرأ الفني دليل السيارات، والذي ينص على:""مبين علامة الزيت في الطبلوه يدل على ضغط الزيت في المحرك.""خرج حسام من المركز. دخل عمر المركز. لم يقرأ عمر الدليل ولم يسمع شرح الفني.يعتقد عمر أن علامة الزيت في الطبلوه تدل على منسوب الزيت في المحرك.

Question: مبين علامة الزيت في الطبلوه يدل على؟
أ- ضغط الزيت في المحرك
ب- حالة الزيت في المحرك
ج- منسوب الزيت في المحرك
Correct option number is:",0,"['أ- ضغط الزيت في المحرك', 'ب- حالة الزيت في المحرك', 'ج- منسوب الزيت في المحرك']",ب,[1.2024745e-04 5.1884818e-01 4.8103154e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل سعيد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:""الأولوية لتنفيذ الإشارة اليدوية لرجل المرور على أي إشارات أخرى.""خرج سعيد من القاعة. دخل فواز القاعة. لم يقرأ فواز الدليل ولم يحضر الشرح.يعتقد فواز أن إشارات المرور الضوئية لها الأولوية على إشارات رجل المرور.

Question: الاولوية لتنفيذ الاشارة اليدوية لرجل المرور.
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.6376641e-04 9.9973625e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل أحمد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:""تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة.""خرج أحمد من القاعة. دخل سامي القاعة. لم يقرأ سامي الدليل ولم يحضر الشرح.يعتقد سامي أن السرعة على الطرق الصحراوية للسيارات الملاكي تختلف عن ذلك.

Question: تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.545779e-04 9.997454e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل خالد قاعة تعليم القيادة. قرأ المدرب دليل القيادة، والذي ينص على:""إذا أراد قائد المركبة أن يقوم بالتوقف، فعليه تهدئة سرعة المركبة تدريجيًّا.""خرج خالد من القاعة. دخل مازن القاعة. لم يقرأ مازن الدليل ولم يحضر الشرح.يعتقد مازن أن التوقف المفاجئ هو الطريقة الصحيحة لإيقاف المركبة.

Question: اذا اراد قائد المركبة ان يقوم بالتوقف فعليه تهدئة سرعة المركبة تدريجيًّا
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[2.3951987e-04 9.9976045e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: دخل عمر قاعة تعليم قواعد المرور. قرأ المدرب دليل القيادة، والذي ينص على:""في حالة القيادة في الشبورة المائية، يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تتكون شبورة مائية داخلها.""خرج عمر من القاعة. دخل سامح القاعة. لم يقرأ سامح الدليل ولم يحضر الشرح.يعتقد سامح أن إغلاق النوافذ تمامًا هو الحل الأفضل لمنع تكوّن الشبورة داخل السيارة.

Question: في حالة القيادة في الشبورة المائية يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تكون شبورة مائية داخل السيارة
أ- العبارة صحيحة
ب- العبارة خاطئة
Correct option number is:",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[7.4370764e-05 9.9992561e-01],Driving Test
"You are an expert in Driving Test at the unknown level.
Analyze the given multiple-choice question and
provide the correct answer using this approach:

Carefully read the question and options
Identify core Driving Test concepts and required
knowledge
Analyze each option for relevance, accuracy,
and consistency
Consider Driving Test-specific context and factors
Use elimination and comparative analysis
Select the most accurate answer
Maintain objectivity, consider Driving Test-specific
sensitivities, and base your decision on verifiable
facts and sound logical reasoning within Driving Test
at the unknown. Question:
BackStory: كان خالد يقود سيارته بسرعة على طريق سريع. فجأة، اكتشف أن الفرامل لا تعمل. قرأ خالد سابقًا دليل قيادة الطوارئ، والذي ينص على:""في حالة تعطل الفرامل أثناء القيادة، يجب استخدام الغيار العكسي (المحرك) لتقليل السرعة تدريجيًا.""أدرك خالد أن هناك طرقًا مختلفة لمحاولة إيقاف السيارة، لكنه تذكر ما قرأه في الدليل وقرر استخدام الغيار العكسي.في المقابل، كان ماجد يقود سيارته في نفس الظروف، لكنه لم يقرأ الدليل من قبل ولم يتعلم عن هذه الطريقة. عندما تعطلت فرامله، اعتقد أن أفضل حل هو شد فرامل اليد بسرعة.

Question: انت تقود سيارتك بسرعة فوجئت بعدم وجود فرامل، فماذا تفعل؟
أ- اشد فرامل اليد بسرعة
ب- ادخل في المناطق الزراعية والخالية
ج- استخدم الغيار العكسي
Correct option number is:",2,"['أ- اشد فرامل اليد بسرعة', 'ب- ادخل في المناطق الزراعية والخالية', 'ج- استخدم الغيار العكسي']",ج,[2.0799353e-06 4.1561297e-01 5.8438498e-01],Driving Test
