input,golds,options,preds,probs,subject
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل سامي الورشة. قرأ الفني دليل صيانة السيارات، والذي ينص على:""اهتزاز (غربلة) مقود السيارة أثناء سير السيارة بسرعة يعني حاجة العجلات إلى الترصيص.""أخبر الفني سامي أن هناك سببًا للاهتزاز لكنه لم يحدد السبب.خرج سامي من الورشة. دخل أحمد الورشة. لم يقرأ أحمد الدليل ولم يسمع كلام الفني.يعتقد أحمد أن الاهتزاز سببه ضعف المساعدين في السيارة.

This is the end of the dialogue. Now, answer the following question.
Question: اهتزاز (غربلة) مقود السيارة (الدركسيون) أثناء سير السيارة بسرعة يعني:
Options:
أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات
ب- ضعف المساعدين بالسيارة
ج- حاجة العجلات الى الترصيص
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",2,"['أ- ضرورة ضبط مستويات ضغط الهواء بالاطارات', 'ب- ضعف المساعدين بالسيارة', 'ج- حاجة العجلات الى الترصيص']",ب,[0.43650582 0.5341168  0.0293774 ],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل خالد ورشة السيارات. قرأ دليل الصيانة، والذي ينص على:""عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع.""خرج خالد من الورشة. دخل ماجد الورشة. لم يقرأ ماجد الدليل.يعتقد ماجد أن رفع السيارة بالكوريك لا يتطلب وضع حجر خلف العجلة.

This is the end of the dialogue. Now, answer the following question.
Question: عند رفع السيارة بالكوريك يلزم وضع حجر خلف العجلة من الجانب المقابل للرفع
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.31518567 0.6848143 ],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل سامر قاعة اختبار القيادة. قرأ المدرب دليل المرور، والذي ينص على:""لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين.""خرج سامر من القاعة. دخل آدم القاعة. لم يقرأ آدم الدليل ولم يحضر شرح المدرب.يعتقد آدم أن التخطي في هذه الأماكن مسموح إذا كان الطريق فارغًا.

This is the end of the dialogue. Now, answer the following question.
Question: لا يجوز التخطي في المنحنيات والمنعطفات والمرتفعات والطرق الزلقة وتقاطع الطرق والميادين
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.4396061  0.56039387],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل يوسف قاعة التوعية المرورية. قرأ المحاضر دليل القيادة الآمنة، والذي ينص على:""المخدرات ليست وحدها التي تزيد زمن رد الفعل لدى قائد السيارة، بل هناك عوامل أخرى مثل التعب والإرهاق والكحول والتشتت.""خرج يوسف من القاعة. دخل أمجد القاعة. لم يقرأ أمجد الدليل ولم يحضر المحاضرة.يعتقد أمجد أن المخدرات هي العامل الوحيد الذي يزيد زمن رد الفعل.

This is the end of the dialogue. Now, answer the following question.
Question: المخدرات وحدها تزيد زمن رد الفعل لدى قائد السيارة
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.35954654 0.64045346],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل حسام إلى مركز صيانة السيارات. قرأ الفني دليل السيارات، والذي ينص على:""مبين علامة الزيت في الطبلوه يدل على ضغط الزيت في المحرك.""خرج حسام من المركز. دخل عمر المركز. لم يقرأ عمر الدليل ولم يسمع شرح الفني.يعتقد عمر أن علامة الزيت في الطبلوه تدل على منسوب الزيت في المحرك.

This is the end of the dialogue. Now, answer the following question.
Question: مبين علامة الزيت في الطبلوه يدل على؟
Options:
أ- ضغط الزيت في المحرك
ب- حالة الزيت في المحرك
ج- منسوب الزيت في المحرك
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- ضغط الزيت في المحرك', 'ب- حالة الزيت في المحرك', 'ج- منسوب الزيت في المحرك']",ب,[0.30085653 0.66440594 0.03473757],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل سعيد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:""الأولوية لتنفيذ الإشارة اليدوية لرجل المرور على أي إشارات أخرى.""خرج سعيد من القاعة. دخل فواز القاعة. لم يقرأ فواز الدليل ولم يحضر الشرح.يعتقد فواز أن إشارات المرور الضوئية لها الأولوية على إشارات رجل المرور.

This is the end of the dialogue. Now, answer the following question.
Question: الاولوية لتنفيذ الاشارة اليدوية لرجل المرور.
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.29767293 0.7023271 ],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل أحمد قاعة تعليم قواعد المرور. قرأ المدرب دليل المرور، والذي ينص على:""تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة.""خرج أحمد من القاعة. دخل سامي القاعة. لم يقرأ سامي الدليل ولم يحضر الشرح.يعتقد سامي أن السرعة على الطرق الصحراوية للسيارات الملاكي تختلف عن ذلك.

This is the end of the dialogue. Now, answer the following question.
Question: تكون السرعة على الطرق الصحراوية بالنسبة للسيارات الملاكي 100 كم / الساعة
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.49277312 0.5072268 ],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل خالد قاعة تعليم القيادة. قرأ المدرب دليل القيادة، والذي ينص على:""إذا أراد قائد المركبة أن يقوم بالتوقف، فعليه تهدئة سرعة المركبة تدريجيًّا.""خرج خالد من القاعة. دخل مازن القاعة. لم يقرأ مازن الدليل ولم يحضر الشرح.يعتقد مازن أن التوقف المفاجئ هو الطريقة الصحيحة لإيقاف المركبة.

This is the end of the dialogue. Now, answer the following question.
Question: اذا اراد قائد المركبة ان يقوم بالتوقف فعليه تهدئة سرعة المركبة تدريجيًّا
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.32803756 0.6719624 ],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: دخل عمر قاعة تعليم قواعد المرور. قرأ المدرب دليل القيادة، والذي ينص على:""في حالة القيادة في الشبورة المائية، يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تتكون شبورة مائية داخلها.""خرج عمر من القاعة. دخل سامح القاعة. لم يقرأ سامح الدليل ولم يحضر الشرح.يعتقد سامح أن إغلاق النوافذ تمامًا هو الحل الأفضل لمنع تكوّن الشبورة داخل السيارة.

This is the end of the dialogue. Now, answer the following question.
Question: في حالة القيادة في الشبورة المائية يجب مراعاة وجود تهوية جيدة داخل السيارة حتى لا تكون شبورة مائية داخل السيارة
Options:
أ- العبارة صحيحة
ب- العبارة خاطئة
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.34446937 0.65553063],Driving Test
"I give you a phrase of a dialogue between agents. I will reveal more parts of it later. At the end, I will give you a question you must answer. For each phrase, you must:
# 1. Write down a succinct description of what each agent knows about the environment and about the other agents. Keep the description short and do not produce redundant information. 
Here's the dialogue:

BackStory: كان خالد يقود سيارته بسرعة على طريق سريع. فجأة، اكتشف أن الفرامل لا تعمل. قرأ خالد سابقًا دليل قيادة الطوارئ، والذي ينص على:""في حالة تعطل الفرامل أثناء القيادة، يجب استخدام الغيار العكسي (المحرك) لتقليل السرعة تدريجيًا.""أدرك خالد أن هناك طرقًا مختلفة لمحاولة إيقاف السيارة، لكنه تذكر ما قرأه في الدليل وقرر استخدام الغيار العكسي.في المقابل، كان ماجد يقود سيارته في نفس الظروف، لكنه لم يقرأ الدليل من قبل ولم يتعلم عن هذه الطريقة. عندما تعطلت فرامله، اعتقد أن أفضل حل هو شد فرامل اليد بسرعة.

This is the end of the dialogue. Now, answer the following question.
Question: انت تقود سيارتك بسرعة فوجئت بعدم وجود فرامل، فماذا تفعل؟
Options:
أ- اشد فرامل اليد بسرعة
ب- ادخل في المناطق الزراعية والخالية
ج- استخدم الغيار العكسي
Think step by step, answer with one word and provide the answer between <answer></answer> tags.
For example, reply with <answer>vase</answer>.",2,"['أ- اشد فرامل اليد بسرعة', 'ب- ادخل في المناطق الزراعية والخالية', 'ج- استخدم الغيار العكسي']",ب,[0.26109838 0.70552295 0.03337861],Driving Test
